category_ja,category_parent_ja,origin_ja,taxon_group_ja,family_ja,scientific_name,vernacular_name_ja,ias_law_status_ja,establishment_stage_ja,selection_reason_ja,problem_area_ja,kingdom_sheet_ja,note_ja,source_id,source_ref
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Sciurus carolinensis,トウブハイイロリス,特定外来,未定着,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=60
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,哺乳類,,Callosciurus finlaysonii,フィンレイソンリス,特定外来,未定着,"Ⅰ,Ⅲ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=61
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,鳥類,,Pycnonotus cafer,シリアカヒヨドリ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=62
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,鳥類,,Zosterops spp.,外国産メジロ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=63
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Macrochelys spp.,ワニガメ属,*,未定着,"Ⅲ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=64
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Chrysemys spp.,ニシキガメ属,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=65
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Graptemys spp.,チズガメ属3種（ミシシッピチズガメ、フトマユチズガメ（サビーンチズガメを含む）、ニセチズガメ）,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=66
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Pseudemys spp.,クーターガメ属,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=67
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Cuora flavomarginata flavomarginata,チュウゴクセマルハコガメ,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=68
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Mauremys sinensis,ハナガメ,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=69
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Apalone spp.,アメリカスッポン属,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=70
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Anolis sagrei,ブラウンアノール,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=71
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Anolis spp.,特定外来生物のアノール属（グリーンアノール、ブラウンアノール除く）,特定外来,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=72
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Eublepharis macularius,ヒョウモントカゲモドキ,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=73
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Boiga irregularis,ミナミオオガシラ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=74
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,爬虫類,,Boiga spp.,特定外来生物のオオガシラ属（ミナミオオガシラを除く）,特定外来,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=75
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Bufo spp.,特定外来生物のヒキガエル属（オオヒキガエルを除く）,特定外来,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=76
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Bufo spp.,ヨーロッパミドリヒキガエルなどヒキガエル属5種（ヨーロッパミドリヒキガエル、テキサスミドリヒキガエル、ナンブヒキガエル、ガルフコーストヒキガエル、ロココヒキガエル（キャハンヒキガエル））,*,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=77
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Kaloula pulchra,アジアジムグリガエル,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=78
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,両生類,,Bufo melanostictus,ヘリグロヒキガエル,未判定,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=79
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Lepisosteidae Gen. spp.,ガー科,,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=80
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Cyprinella lutrensis,レッドホースミノー,,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=81
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Silurus glanis,ヨーロッパナマズ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=82
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Esox lucius,ノーザンパイク,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=83
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Esox masquinongy,マスキーパイク,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=84
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Esocidae spp.,パイク科,未判定,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=85
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Gambusia holbrooki,ガンブシア・ホルブローキ,未判定,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=86
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Siniperca chuatsi,ケツギョ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=87
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Siniperca scherzeri,コウライケツギョ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=88
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Lates niloticus,ナイルパーチ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=89
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Morone saxatilis,ストライプトバス,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=90
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Morone chrysops,ホワイトバス,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=91
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Perca fluviatilis,ヨーロピアンパーチ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=92
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Sander lucioperca,パイクパーチ,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=93
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Tilapia mariae,スポッテッドティラピア,,未定着,"Ⅰ,Ⅳ",,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=94
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,魚類,,Pterygoplichthys multiradiatus,オリノコセイルフィンキャットフィッシュ,,小笠原・南西諸島／未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=95
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Lucanidae Gen spp.,外国産クワガタムシ,*,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=96
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Dynastinae Gen. spp.,外国産カブトムシ,,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=97
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,昆虫類,,Cheirotonus spp.,外国産テナガコガネ属,特定外来,小笠原・南西諸島／未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=98
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,陸生節足動物,,Buthidae Gen. spp.,キョクトウサソリ科,特定外来,未定着,Ⅲ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=99
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Astacus spp.,アスタクス属,特定外来,未定着,Ⅰ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=100
その他の定着予防外来種,定着を予防する外来種（定着予防外来種）,国外由来の外来種,その他の無脊椎動物,,Procambarus fallax,ミステリークレイフィッシュ,,未定着,Ⅳ,,動物,,moe_ias_list,https://www.env.go.jp/nature/intro/2outline/list/list2.xls#動物!row=101
