taxon_id,scientific_name,vernacular_name_ja,source_id,query_name,query_variant,taxon_key,accepted_scientific_name,kingdom,phylum,class,order,family,genus,rank,matchType,confidence,status,note
tricholoma bakamatsutake hongo,Tricholoma bakamatsutake Hongo,バカマツタケ,kanagawa_redlist,Tricholoma bakamatsutake Hongo,verbatim,5450746,Tricholoma bakamatsutake Hongo,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,SPECIES,EXACT,100,ACCEPTED,
"ephoron shigae (takahashi, 1924）","Ephoron shigae (Takahashi, 1924）",オオシロカゲロウ,kanagawa_redlist,"Ephoron shigae (Takahashi, 1924）",verbatim,6934307,"Ephoron shigae (Takahashi, 1924)",Animalia,Arthropoda,Insecta,Ephemeroptera,Polymitarcyidae,Ephoron,SPECIES,EXACT,100,ACCEPTED,
trichosurus vulpecula,Trichosurus vulpecula,フクロギツネ,moe_ias_list,Trichosurus vulpecula,verbatim,2440254,"Trichosurus vulpecula (Kerr, 1792)",Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Trichosurus,SPECIES,EXACT,99,ACCEPTED,
eleutherodactylus johnstonei,Eleutherodactylus johnstonei,ジョンストンコヤスガエル,moe_ias_list,Eleutherodactylus johnstonei,verbatim,2424120,"Eleutherodactylus johnstonei Barbour, 1914",Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,SPECIES,EXACT,99,ACCEPTED,
pylodictis olivaris,Pylodictis olivaris,フラットヘッドキャットフィッシュ,moe_ias_list,Pylodictis olivaris,verbatim,2341077,"Pylodictis olivaris (Rafinesque, 1818)",Animalia,Chordata,,Siluriformes,Ictaluridae,Pylodictis,SPECIES,EXACT,99,ACCEPTED,
solenopsis invicta,Solenopsis invicta,ヒアリ（アカヒアリ）,moe_ias_list,Solenopsis invicta,verbatim,5035230,"Solenopsis invicta Buren, 1972",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,SPECIES,EXACT,99,ACCEPTED,
hadronyche spp.,Hadronyche spp.,ハドロニュケ属,moe_ias_list,Hadronyche spp.,verbatim,2145025,"Hadronyche L.Koch, 1873",Animalia,Arthropoda,Arachnida,Araneae,Atracidae,Hadronyche,GENUS,HIGHERRANK,94,ACCEPTED,
dreissena polymorpha,Dreissena polymorpha,カワホトトギスガイ,moe_ias_list,Dreissena polymorpha,verbatim,2287072,"Dreissena polymorpha (Pallas, 1771)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,SPECIES,EXACT,99,ACCEPTED,
zosterops spp.,Zosterops spp.,外国産メジロ,moe_ias_list,Zosterops spp.,verbatim,2489340,"Zosterops Vigors & Horsfield, 1827",Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,GENUS,HIGHERRANK,94,ACCEPTED,
chrysemys spp.,Chrysemys spp.,ニシキガメ属,moe_ias_list,Chrysemys spp.,verbatim,9529207,"Chrysemys Gray, 1844",Animalia,Chordata,Testudines,,Emydidae,Chrysemys,GENUS,HIGHERRANK,94,ACCEPTED,
alnus glutinosa,Alnus glutinosa,ヨーロッパハンノキ（オウシュウクロハンノキ）,moe_ias_list,Alnus glutinosa,verbatim,2876213,Alnus glutinosa (L.) Gaertn.,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,SPECIES,EXACT,98,ACCEPTED,
columba versicolor,Columba versicolor,オガサワラカラスバト,moe_redlist,Columba versicolor,verbatim,5231877,"Columba versicolor Kittlitz, 1832",Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,SPECIES,EXACT,99,ACCEPTED,
eublepharis kuroiwae,Eublepharis kuroiwae,クロイワトカゲモドキ,moe_redlist,Eublepharis kuroiwae,verbatim,5221339,Eublepharis kuroiwae,Animalia,Chordata,Squamata,,Eublepharidae,Goniurosaurus,SPECIES,EXACT,98,SYNONYM,
hynobius hidamontanus,Hynobius hidamontanus,ハクバサンショウウオ,moe_redlist,Hynobius hidamontanus,verbatim,2431163,"Hynobius hidamontanus Matsui, 1987",Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,SPECIES,EXACT,99,ACCEPTED,
botrychium boreale,Botrychium boreale,タカネハナワラビ,moe_redlist,Botrychium boreale,verbatim,2650163,Botrychium boreale Milde,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Botrychium,SPECIES,EXACT,99,ACCEPTED,
mannia californica,Mannia californica,ウルシゼニゴケ,moe_redlist,Mannia californica,verbatim,8694243,Mannia californica (Gottsche) L.C.Wheeler,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Aytoniaceae,Mannia,SPECIES,EXACT,99,ACCEPTED,
chara globularis var. hakonensis,Chara globularis var. hakonensis,ハコネシャジクモ,moe_redlist,Chara globularis var. hakonensis,verbatim,5270780,Chara globularis Thuill.,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,SPECIES,HIGHERRANK,99,ACCEPTED,
erioderma tomentosum,Erioderma tomentosum,ヌマジリゴケ,moe_redlist,Erioderma tomentosum,verbatim,2601273,Erioderma tomentosum Hue,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Erioderma,SPECIES,EXACT,99,ACCEPTED,
chlorophyllum agaricoides,Chlorophyllum agaricoides,スナタマゴタケ,moe_redlist,Chlorophyllum agaricoides,verbatim,5955379,Chlorophyllum agaricoides (Czern.) Vellinga,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Chlorophyllum,SPECIES,EXACT,99,ACCEPTED,
rhinolophus pumilus miyakonis,Rhinolophus pumilus miyakonis,ミヤココキクガシラコウモリ,moe_redlist,Rhinolophus pumilus miyakonis,verbatim,5787430,"Rhinolophus pumilus K.Andersen, 1905",Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,SPECIES,HIGHERRANK,99,ACCEPTED,
gnathopogon elongatus suwae,Gnathopogon elongatus suwae,スワモロコ,moe_redlist,Gnathopogon elongatus suwae,verbatim,12331075,"Gnathopogon elongatus suwae Jordan & Hubbs, 1925",Animalia,Chordata,,Cypriniformes,Cyprinidae,Gnathopogon,SUBSPECIES,EXACT,98,SYNONYM,
rakantrechus elegans,Rakantrechus elegans,コゾノメクラチビゴミムシ,moe_redlist,Rakantrechus elegans,verbatim,8248964,"Rakantrechus elegans Ueno, 1960",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Rakantrechus,SPECIES,EXACT,99,ACCEPTED,
ogasawarana habei,Ogasawarana habei,ソロバンダマヤマキサゴ,moe_redlist,Ogasawarana habei,verbatim,5784021,"Ogasawarana habei Minato, 1980",Animalia,Mollusca,Gastropoda,Cycloneritida,Helicinidae,Ogasawarana,SPECIES,EXACT,99,ACCEPTED,
haemaphy salispentalagi,Haemaphy salispentalagi,クロウサギチマダニ,moe_redlist,Haemaphy salispentalagi,verbatim,,,,,,,,,,NONE,100,,No match because of too little confidence
thryssa baelama,Thryssa baelama,オオイワシ,moe_redlist,Thryssa baelama,verbatim,2414136,"Thryssa baelama (Forsskål, 1775)",Animalia,Chordata,,Clupeiformes,Engraulidae,Thryssa,SPECIES,EXACT,99,ACCEPTED,
euphyllia paraglabrescens,Euphyllia paraglabrescens,ハナサンゴモドキ,moe_redlist,Euphyllia paraglabrescens,verbatim,2259286,"Euphyllia paraglabrescens Veron, 1990",Animalia,Cnidaria,Anthozoa,Scleractinia,Euphylliidae,Euphyllia,SPECIES,EXACT,99,ACCEPTED,
halosbaena daitoensis,Halosbaena daitoensis,ダイトウコオイエビ,moe_redlist,Halosbaena daitoensis,verbatim,2215730,"Halosbaena daitoensis Shimomura & Fujita, 2009",Animalia,Arthropoda,Malacostraca,Thermosbaenacea,Halosbaenidae,Halosbaena,SPECIES,EXACT,99,ACCEPTED,
octopus incella,Octopus incella,ナギサアナダコ,moe_redlist,Octopus incella,verbatim,5856025,"Octopus incella Kaneko & Kubodera, 2007",Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,SPECIES,EXACT,99,ACCEPTED,
hediste japonica,Hediste japonica,アリアケカワゴカイ,moe_redlist,Hediste japonica,verbatim,2316423,"Hediste japonica (Izuka, 1908)",Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Hediste,SPECIES,EXACT,99,ACCEPTED,
selaginella shakotanensis (franch. ex takeda) miyabe & kudo,Selaginella shakotanensis (Franch. ex Takeda) Miyabe & Kudo,ヒモカズラ,kanagawa_redlist,Selaginella shakotanensis (Franch. ex Takeda) Miyabe & Kudo,verbatim,8063831,Selaginella shakotanensis (Franch. ex Takeda) Miyabe & Kudô,Plantae,Tracheophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella,SPECIES,EXACT,100,ACCEPTED,
acrobolbus ciliatus (mitt.) schiffn.,Acrobolbus ciliatus (Mitt.) Schiffn.,チチブイチョウゴケ,kanagawa_redlist,Acrobolbus ciliatus (Mitt.) Schiffn.,verbatim,4276662,Acrobolbus ciliatus (Mitt.) Schiffn.,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Acrobolbaceae,Acrobolbus,SPECIES,EXACT,100,ACCEPTED,
batrachospermum gelatinosum (l.) dc.,Batrachospermum gelatinosum (L.) DC.,カワモズク,kanagawa_redlist,Batrachospermum gelatinosum (L.) DC.,verbatim,2654243,Batrachospermum gelatinosum (L.) DC.,Plantae,Rhodophyta,Florideophyceae,Batrachospermales,Batrachospermaceae,Batrachospermum,SPECIES,EXACT,100,ACCEPTED,
"dactylosporina brunneomarginata ushijima, nagas. & s. kigawa","Dactylosporina brunneomarginata Ushijima, Nagas. & S. Kigawa",トゲミフチドリツエタケ,kanagawa_redlist,"Dactylosporina brunneomarginata Ushijima, Nagas. & S. Kigawa",verbatim,8342953,"Dactylosporina brunneomarginata Ushijima, Nagas. & S.Kigawa",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Dactylosporina,SPECIES,EXACT,100,ACCEPTED,
"cincticostella (cincticostella) orientalis （tshernova, 1952）","Cincticostella (Cincticostella) orientalis （Tshernova, 1952）",チェルノバマダラカゲロウ,kanagawa_redlist,"Cincticostella (Cincticostella) orientalis （Tshernova, 1952）",verbatim,7197172,"Cincticostella orientalis (Tshernova, 1952)",Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Cincticostella,SPECIES,EXACT,100,ACCEPTED,
macaca fascicularis,Macaca fascicularis,カニクイザル,moe_ias_list,Macaca fascicularis,verbatim,2436603,"Macaca fascicularis (Raffles, 1821)",Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,SPECIES,EXACT,99,ACCEPTED,
eleutherodactylus planirostris,Eleutherodactylus planirostris,オンシツガエル,moe_ias_list,Eleutherodactylus planirostris,verbatim,2424089,"Eleutherodactylus planirostris (Cope, 1862)",Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,SPECIES,EXACT,99,ACCEPTED,
morone americana,Morone americana,ホワイトパーチ,moe_ias_list,Morone americana,verbatim,2394604,"Morone americana (Gmelin, 1789)",Animalia,Chordata,,Perciformes,Moronidae,Morone,SPECIES,EXACT,99,ACCEPTED,
wasmannia auropunctata,Wasmannia auropunctata,コカミアリ,moe_ias_list,Wasmannia auropunctata,verbatim,1315391,"Wasmannia auropunctata (Roger, 1863)",Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,SPECIES,EXACT,99,ACCEPTED,
lososceles spp.,Lososceles spp.,イトグモ属3種,moe_ias_list,Lososceles spp.,verbatim,,,,,,,,,,NONE,100,,No match because of too little confidence
dreissena bugensis,Dreissena bugensis,クワッガガイ,moe_ias_list,Dreissena bugensis,verbatim,2287073,"Dreissena bugensis (Andrusov, 1897)",Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,SPECIES,EXACT,99,ACCEPTED,
pavo cristatus,Pavo cristatus,インドクジャク,moe_ias_list,Pavo cristatus,verbatim,9451184,"Pavo cristatus Linnaeus, 1758",Animalia,Chordata,Aves,Galliformes,Phasianidae,Pavo,SPECIES,EXACT,99,ACCEPTED,
graptemys spp.,Graptemys spp.,チズガメ属3種（ミシシッピチズガメ、フトマユチズガメ（サビーンチズガメを含む）、ニセチズガメ）,moe_ias_list,Graptemys spp.,verbatim,2443072,"Graptemys Agassiz, 1857",Animalia,Chordata,Testudines,,Emydidae,Graptemys,GENUS,HIGHERRANK,94,ACCEPTED,
ficus rubiginosa,Ficus rubiginosa,フランスゴムノキ（コバノゴムビワ）,moe_ias_list,Ficus rubiginosa,verbatim,5361929,Ficus rubiginosa Desf. ex Vent.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,SPECIES,EXACT,98,ACCEPTED,
columba jouyi,Columba jouyi,リュウキュウカラスバト,moe_redlist,Columba jouyi,verbatim,5231869,"Columba jouyi (Stejneger, 1887)",Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,SPECIES,EXACT,99,ACCEPTED,
opisthotropis kikuzatoi,Opisthotropis kikuzatoi,キクザトサワヘビ,moe_redlist,Opisthotropis kikuzatoi,verbatim,5959324,"Opisthotropis kikuzatoi (Okada & Takara, 1958)",Animalia,Chordata,Squamata,,Colubridae,Opisthotropis,SPECIES,EXACT,99,ACCEPTED,
hynobius takedai,Hynobius takedai,ホクリクサンショウウオ,moe_redlist,Hynobius takedai,verbatim,2431159,"Hynobius takedai Matsui & Miyazaki, 1984",Animalia,Chordata,Amphibia,Caudata,Hynobiidae,Hynobius,SPECIES,EXACT,99,ACCEPTED,
ophioglossum parvifolium,Ophioglossum parvifolium,イオウジマハナヤスリ,moe_redlist,Ophioglossum parvifolium,verbatim,3659209,Ophioglossum parvifolium Hook. & Grev.,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Ophioglossum,SPECIES,EXACT,99,ACCEPTED,
lepicolea yakusimensis,Lepicolea yakusimensis,ヤクシマスギバゴケ,moe_redlist,Lepicolea yakusimensis,verbatim,8050302,Lepicolea yakusimensis (S.Hatt.) S.Hatt.,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepicoleaceae,Lepicolea,SPECIES,EXACT,99,ACCEPTED,
nitella minispora,Nitella minispora,キザキフラスコモ,moe_redlist,Nitella minispora,verbatim,2637771,"Nitella C.Agardh, 1824",Plantae,Charophyta,Charophyceae,Charales,Characeae,Nitella,GENUS,HIGHERRANK,94,ACCEPTED,
siphula ceratites,Siphula ceratites,シロツノゴケ,moe_redlist,Siphula ceratites,verbatim,2600381,Siphula ceratites (Wahlenb.) Fr.,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Icmadophilaceae,Siphula,SPECIES,EXACT,99,ACCEPTED,
coprinus boninensis,Coprinus boninensis,ムニンヒトヨタケ,moe_redlist,Coprinus boninensis,verbatim,3332616,Coprinus boninensis S.Ito & S.Imai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,SPECIES,EXACT,99,ACCEPTED,
pipistrellus sturdeei,Pipistrellus sturdeei,オガサワラアブラコウモリ,moe_redlist,Pipistrellus sturdeei,verbatim,5218501,"Pipistrellus sturdeei Thomas, 1915",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,SPECIES,EXACT,99,ACCEPTED,
pungitius kaibarae,Pungitius kaibarae,ミナミトミヨ,moe_redlist,Pungitius kaibarae,verbatim,5204687,"Pungitius kaibarae (Tanaka, 1915)",Animalia,Chordata,,Gasterosteiformes,Gasterosteidae,Pungitius,SPECIES,EXACT,98,SYNONYM,
