place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-10,site,kanagawa_jiban_chinka__10,市場観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well10（data/processed/kanagawa_jiban_chinka.csv well_id=10; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-11,site,kanagawa_jiban_chinka__11,横浜公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well11（data/processed/kanagawa_jiban_chinka.csv well_id=11; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-12-1,site,kanagawa_jiban_chinka__12-1,佐江戸公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-1!col5_row18（data/processed/kanagawa_jiban_chinka.csv well_id=12-1; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-12-2,site,kanagawa_jiban_chinka__12-2,佐江戸公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-1!col6_row18（data/processed/kanagawa_jiban_chinka.csv well_id=12-2; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-121,site,kanagawa_jiban_chinka__121,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row33_col11（data/processed/kanagawa_jiban_chinka.csv well_id=121; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-13,site,kanagawa_jiban_chinka__13,岡野公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well13（data/processed/kanagawa_jiban_chinka.csv well_id=13; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-130,site,kanagawa_jiban_chinka__130,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row31_col11（data/processed/kanagawa_jiban_chinka.csv well_id=130; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-14-1,site,kanagawa_jiban_chinka__14-1,新羽公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-1!col8_row6（data/processed/kanagawa_jiban_chinka.csv well_id=14-1; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-14-2,site,kanagawa_jiban_chinka__14-2,新羽公園観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表11-2-1!col9_row6（data/processed/kanagawa_jiban_chinka.csv well_id=14-2; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-140,site,kanagawa_jiban_chinka__140,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row22_col11（data/processed/kanagawa_jiban_chinka.csv well_id=140; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
