record_id,source_id,site_id,observed_on,scientific_name,vernacular_name,taxon_rank,reason
gbif_kanagawa_occurrences__4856361146,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856364125,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856364132,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856385986,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856385998,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856395538,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856395797,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856396065,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856416411,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856416413,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856416751,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
gbif_kanagawa_occurrences__4856418631,gbif_kanagawa_occurrences,,,,,,scientific_name等の分類群情報が空欄で照合材料が無い（taxon_key自体が無い）
